song_id,user_id,timestamp,duration_sec,title,artist,genre,mood
S0037,U002,2025-03-30T18:17:42.000Z,71,Yet crime,Brandon Farley,Classical,Energetic
S0025,U072,2025-03-30T00:50:59.000Z,225,Husband professor through,Debra Rodriguez,Pop,Sad
S0016,U035,2025-03-29T05:27:18.000Z,198,Structure reveal former,Jeffrey Wolfe,Pop,Energetic
S0007,U045,2025-04-03T09:48:54.000Z,251,Could bring official,Monica Butler,Rock,Chill
S0021,U071,2025-04-05T17:31:04.000Z,155,Country special law,Heidi Davis,Pop,Energetic
S0027,U092,2025-03-31T21:38:45.000Z,57,Reach,Richard Jensen,Classical,Happy
S0021,U095,2025-04-05T14:33:48.000Z,118,Country special law,Heidi Davis,Pop,Energetic
S0047,U053,2025-03-31T10:43:00.000Z,115,Serve rich expert,Collin Luna,Pop,Happy
S0030,U026,2025-04-09T12:25:07.000Z,65,Create window,Richard Rivera,Pop,Sad
S0029,U051,2025-03-29T14:08:54.000Z,282,Seem less,Jared Williamson,HipHop,Sad
S0040,U086,2025-04-03T12:54:37.000Z,268,Subject ever,Paula Roberts,Rock,Energetic
S0030,U039,2025-03-29T15:06:50.000Z,216,Create window,Richard Rivera,Pop,Sad
S0035,U100,2025-04-05T17:53:56.000Z,50,Nor TV,Aaron Nguyen,Jazz,Happy
S0047,U082,2025-04-06T09:44:32.000Z,251,Serve rich expert,Collin Luna,Pop,Happy
S0016,U084,2025-03-30T08:20:11.000Z,67,Structure reveal former,Jeffrey Wolfe,Pop,Energetic
S0006,U094,2025-04-08T07:14:32.000Z,246,Tend too cell,Jacqueline Gray,Pop,Sad
S0045,U018,2025-03-28T05:37:01.000Z,148,Official young,Jeremy Mcfarland,Pop,Energetic
S0037,U020,2025-04-10T22:33:36.000Z,274,Yet crime,Brandon Farley,Classical,Energetic
S0013,U078,2025-04-09T04:56:29.000Z,299,Laugh believe although,Edward Hill,Jazz,Energetic
S0033,U088,2025-04-02T01:39:57.000Z,54,Or part idea,Mrs. Kelli Mcfarland,HipHop,Energetic
S0005,U008,2025-04-04T04:37:41.000Z,36,Particular just material,Beverly Adams,Jazz,Sad
S0004,U036,2025-04-08T11:17:46.000Z,263,Doctor notice the,Peter Hernandez,Jazz,Chill
S0018,U089,2025-03-31T21:22:26.000Z,105,Project board process,Jerry Dyer,Classical,Sad
S0046,U071,2025-04-09T09:23:28.000Z,195,Exist heavy,Angela Chandler,Classical,Happy
S0017,U063,2025-04-04T01:13:40.000Z,67,Such bed,Mackenzie Morrow,Classical,Sad
S0038,U093,2025-04-08T10:13:12.000Z,110,Small who,Jacqueline Leach,HipHop,Chill
S0048,U001,2025-03-30T17:19:04.000Z,293,Author them wrong challenge,Juan Fox,Rock,Energetic
S0034,U077,2025-04-04T03:56:16.000Z,41,City cut this,Robert Holmes,Classical,Energetic
S0001,U093,2025-03-31T09:45:34.000Z,108,Democrat really,Kevin Yu,Pop,Energetic
S0021,U034,2025-03-31T22:24:28.000Z,181,Country special law,Heidi Davis,Pop,Energetic
S0047,U034,2025-04-07T10:30:55.000Z,66,Serve rich expert,Collin Luna,Pop,Happy
S0042,U037,2025-04-08T04:00:59.000Z,274,Suggest law,Scott Johns,HipHop,Energetic
S0015,U046,2025-03-30T01:43:46.000Z,174,Foreign somebody road,Bryan Butler,Rock,Chill
S0023,U024,2025-04-10T14:23:58.000Z,185,Success to anyone be,Edward Campbell,Pop,Sad
S0005,U087,2025-04-08T06:29:36.000Z,95,Particular just material,Beverly Adams,Jazz,Sad
S0020,U019,2025-04-02T07:14:51.000Z,159,Two imagine must,Susan Lang,Rock,Happy
S0020,U046,2025-03-31T00:22:06.000Z,45,Two imagine must,Susan Lang,Rock,Happy
S0044,U006,2025-04-08T21:35:23.000Z,130,Bill,Natalie Miller,Rock,Chill
S0020,U043,2025-04-10T13:31:45.000Z,51,Two imagine must,Susan Lang,Rock,Happy
S0027,U061,2025-04-07T08:29:40.000Z,252,Reach,Richard Jensen,Classical,Happy
S0014,U010,2025-03-28T10:04:20.000Z,45,Woman section,Taylor Gray,Pop,Energetic
S0041,U059,2025-04-08T08:50:26.000Z,55,Now brother,Kenneth Morrison,HipHop,Energetic
S0008,U092,2025-03-28T11:04:35.000Z,167,Decade anything woman,Nicholas Patterson,Jazz,Energetic
S0039,U076,2025-04-05T23:55:50.000Z,244,Kid agency,Anna Johnson,Jazz,Sad
S0020,U098,2025-04-04T09:18:22.000Z,128,Two imagine must,Susan Lang,Rock,Happy
S0046,U097,2025-04-04T19:01:27.000Z,106,Exist heavy,Angela Chandler,Classical,Happy
S0030,U056,2025-04-07T11:28:19.000Z,277,Create window,Richard Rivera,Pop,Sad
S0023,U042,2025-04-08T08:02:24.000Z,298,Success to anyone be,Edward Campbell,Pop,Sad
S0019,U076,2025-04-06T11:41:21.000Z,161,Record book,Cheryl Reeves,HipHop,Sad
S0049,U019,2025-04-03T16:02:49.000Z,197,Rich,Marisa Wade,Rock,Energetic
S0012,U050,2025-04-05T01:19:56.000Z,35,Suffer letter,Catherine Davis,Classical,Happy
S0038,U080,2025-04-01T20:12:33.000Z,81,Small who,Jacqueline Leach,HipHop,Chill
S0049,U030,2025-03-31T01:56:37.000Z,278,Rich,Marisa Wade,Rock,Energetic
S0019,U087,2025-04-01T18:45:19.000Z,276,Record book,Cheryl Reeves,HipHop,Sad
S0035,U066,2025-04-02T01:28:07.000Z,175,Nor TV,Aaron Nguyen,Jazz,Happy
S0022,U084,2025-03-30T20:51:54.000Z,299,Identify class,Kelly Vargas,Classical,Sad
S0039,U014,2025-04-02T23:19:06.000Z,194,Kid agency,Anna Johnson,Jazz,Sad
S0022,U077,2025-03-30T10:11:12.000Z,204,Identify class,Kelly Vargas,Classical,Sad
S0026,U060,2025-04-05T00:18:45.000Z,149,Real every,James Cruz,Pop,Chill
S0030,U040,2025-04-06T07:37:25.000Z,174,Create window,Richard Rivera,Pop,Sad
S0018,U009,2025-04-06T11:40:26.000Z,165,Project board process,Jerry Dyer,Classical,Sad
S0048,U056,2025-03-28T08:59:10.000Z,53,Author them wrong challenge,Juan Fox,Rock,Energetic
S0013,U004,2025-04-10T06:55:29.000Z,170,Laugh believe although,Edward Hill,Jazz,Energetic
S0022,U006,2025-03-29T18:06:17.000Z,115,Identify class,Kelly Vargas,Classical,Sad
S0032,U027,2025-03-29T19:09:13.000Z,69,Its push everybody,Anthony Perry,Pop,Energetic
S0008,U044,2025-03-30T21:17:44.000Z,177,Decade anything woman,Nicholas Patterson,Jazz,Energetic
S0033,U049,2025-04-05T16:12:20.000Z,242,Or part idea,Mrs. Kelli Mcfarland,HipHop,Energetic
S0003,U088,2025-04-01T06:24:50.000Z,217,While account,Wendy Mendez,Jazz,Happy
S0032,U013,2025-03-30T02:11:16.000Z,117,Its push everybody,Anthony Perry,Pop,Energetic
S0009,U089,2025-04-10T14:05:34.000Z,36,Its particularly admit provide,Steve Martinez,Classical,Chill
S0020,U098,2025-04-06T10:42:55.000Z,267,Two imagine must,Susan Lang,Rock,Happy
